id,loan_amount,instalment,expected_revenue,total_payment,loss
Summary,,,"Total Expected Loss: $28,885,826.94",,
7927281,20125,485.25,29115.0,53.332923252842704,29061.66707674716
7926132,33425,889.29,53357.399999999994,65.34329039568723,53292.05670960431
7925513,22000,763.72,27493.920000000002,64.3493698530198,27429.570630146984
7925255,13750,443.61,15969.960000000001,49.711878644653545,15920.248121355347
7924965,5000,163.67,5892.12,23.41303676125037,5868.706963238749
7924919,7000,252.23,9080.279999999999,19.650662980370104,9060.629337019629
7916577,17500,564.6,20325.600000000002,59.0995533715934,20266.500446628408
7914684,20000,686.48,24713.28,61.02194638913972,24652.258053610858
7905026,5000,158.07,5690.5199999999995,35.66498634059759,5654.855013659402
7874608,23500,863.8,31096.8,67.02552751317546,31029.774472486824
7864768,6250,230.75,8307.0,24.470852272207186,8282.529147727793
7731455,33000,1163.45,41884.200000000004,72.75531627210361,41811.4446837279
7731262,8000,288.26,10377.36,42.00718659195974,10335.35281340804
7731195,28000,757.5,45450.0,63.06165673654636,45386.93834326346
7731075,10575,258.29,9298.44,43.86277400601529,9254.577225993986
7730301,13000,414.92,14937.12,36.61251961242496,14900.507480387576
9236824,10000,360.33,12971.88,25.902936261392927,12945.977063738606
7728097,19650,643.23,23156.28,53.88433540680117,23102.395664593198
7728073,6000,220.55,7939.8,42.9957032319911,7896.804296768009
7727156,5000,173.58,6248.88,38.95698299024711,6209.923017009753
7726231,5400,192.8,6940.8,31.77224566563996,6909.02775433436
7725795,24375,669.06,40143.6,32.22412285179581,40111.3758771482
7725704,24000,625.22,37513.200000000004,58.07800199640472,37455.1219980036
7725259,3500,123.4,4442.400000000001,35.217219602157336,4407.182780397843
7721018,6250,232.91,8384.76,28.366958325201026,8356.393041674799
7721005,5375,173.42,6243.12,29.489755186782627,6213.630244813217
7720842,5600,133.52,8011.200000000001,30.626431277393763,7980.573568722607
7720762,10950,386.06,13898.16,51.15719525787716,13847.002804742122
7715391,20000,498.13,29887.8,50.59408309046092,29837.205916909537
7715267,35000,974.64,58478.4,43.75962729204309,58434.64037270796
7715075,2700,98.36,3540.96,32.54758632434967,3508.4124136756504
7711421,9750,343.75,12375.0,47.46332356785104,12327.53667643215
7710800,2900,94.93,3417.4800000000005,30.162835385434363,3387.317164614566
7710174,10000,349.65,12587.4,41.572580063542965,12545.827419936457
7708732,17000,583.5,21006.0,39.073843244506165,20966.926156755493
7708675,7200,232.29,8362.44,35.03399670014299,8327.406003299857
7708200,18000,421.64,15179.039999999999,46.69903702728291,15132.340962972716
7707813,5000,176.28,6346.08,32.819186736863614,6313.260813263137
7707677,8875,319.79,11512.44,43.52447695558579,11468.915523044414
7707101,24250,645.18,38710.799999999996,48.14122431535242,38662.65877568464
7706143,12000,419.58,15104.88,54.32913229102709,15050.550867708973
7705836,7200,251.75,9063.0,44.24822196473572,9018.751778035265
7705115,23325,569.71,34182.600000000006,57.324265693784575,34125.27573430622
7701167,10000,327.34,11784.24,48.38077410894505,11735.859225891054
7701065,12000,387.15,13937.4,51.20783166928938,13886.19216833071
10085445,19000,670.24,24128.64,61.5830744841945,24067.056925515804
7698353,35000,1017.07,61024.200000000004,69.57471794938206,60954.62528205062
7696103,30000,732.74,43964.4,46.59974201764027,43917.80025798236
7695004,7200,265.83,9569.88,29.72977973024428,9540.150220269756
7694950,16000,390.8,23448.0,41.92413179239445,23406.075868207605
7688590,4375,143.22,5155.92,34.46553857587244,5121.454461424128
7688329,6250,230.75,8307.0,39.7936314268193,8267.206368573181
7688285,28000,667.59,40055.4,61.50052728545279,39993.89947271455
7687275,28000,744.95,44697.0,62.713470214859534,44634.28652978514
7685945,3625,125.84,4530.24,28.28069737764134,4501.959302622358
7684854,12000,293.1,17586.0,36.75235515779208,17549.24764484221
7684782,30000,757.9,45474.0,64.16212687718458,45409.837873122815
7684577,17625,420.23,25213.800000000003,40.12383872999048,25173.676161270014
7681098,6000,220.55,7939.8,37.41379343074183,7902.386206569258
7680146,15000,491.01,17676.36,54.51727252186979,17621.84272747813
7679356,8000,249.3,8974.800000000001,43.32254630978016,8931.47745369022
7678849,35000,1000.8,60048.0,70.39270635026574,59977.60729364974
7678174,8500,240.11,14406.6,42.77493750969144,14363.825062490308
7677976,1400,48.06,1730.16,27.50493549715624,1702.6550645028437
7677803,13000,437.96,15766.56,54.30894210870301,15712.251057891297
7677397,17500,643.26,23157.36,40.40145456660776,23116.958545433394
7676028,15000,426.32,25579.2,41.80259013898354,25537.397409861016
7675669,3500,128.66,4631.76,35.1312643915511,4596.6287356084495
7669115,1200,42.31,1523.16,22.84241301959309,1500.317586980407
7668535,17000,539.81,19433.159999999996,56.28926694932085,19376.870733050677
7665819,9600,342.75,12339.0,49.86404425215963,12289.13595574784
7665296,18825,542.44,32546.4,57.89587200069879,32488.504127999302
7659644,20000,686.48,24713.28,55.06924304084554,24658.210756959154
7659183,15000,361.67,21700.2,51.2471483042192,21648.95285169578
7658293,19750,470.89,28253.399999999998,54.699297350278776,28198.70070264972
7656902,30000,847.44,50846.4,56.127135755570805,50790.27286424443
7656307,15000,432.22,25933.2,37.15543018943425,25896.044569810565
7654819,24000,586.19,35171.4,36.751792011894665,35134.64820798811
7650098,17500,417.25,25035.0,41.49704709127055,24993.50295290873
7647127,15250,447.52,26851.199999999997,43.9025277829066,26807.29747221709
7644796,15500,478.39,17222.04,46.26543556001421,17175.774564439987
8609707,12000,408.22,14695.920000000002,41.18875684080108,14654.7312431592
7638978,5000,171.62,6178.32,32.514563320613114,6145.805436679387
7638613,4750,175.37,6313.32,39.75840091471375,6273.561599085286
7638443,7000,240.27,8649.720000000001,37.55499330933999,8612.16500669066
7638067,9000,312.43,11247.48,46.164452086780855,11201.315547913218
7638063,17500,519.52,31171.199999999997,39.58213506391888,31131.617864936077
7637549,19075,568.86,34131.6,57.28855387402385,34074.311446125976
7637346,20675,763.31,27479.159999999996,52.62666663664895,27426.533333363346
